ANO_ELEICAO;SG_UF;DS_CARGO;SG_PARTIDO;NR_CANDIDATO;NM_CANDIDATO;SQ_CANDIDATO;DS_SIT_TOT_TURNO;QT_VOTOS_TOTAL
2014;PA;DEPUTADO ESTADUAL;PSC;20777;JAQUES DA SILVA NEVES;140000000214;ELEITO POR MÉDIA;12952
2014;PA;DEPUTADO ESTADUAL;PSD;55000;NEIL DUARTE DE SOUZA;140000001014;ELEITO POR QP;50990
2014;PA;DEPUTADO ESTADUAL;PSD;55123;FERNANDO ANTÔNIO RODRIGUES COIMBRA;140000001011;ELEITO POR QP;44943
2014;PA;DEPUTADO ESTADUAL;PSD;55500;JOÃO FERRARI JÚNIOR;140000000998;ELEITO POR QP;63752
2014;PA;DEPUTADO ESTADUAL;PSDB;45111;LUIZ FURTADO REBELO FILHO;140000000982;ELEITO POR QP;51345
2014;PA;DEPUTADO ESTADUAL;PSDB;45112;CILENE LISBOA COUTO MARQUES;140000000961;ELEITO POR QP;72750
2014;PA;DEPUTADO ESTADUAL;PSDB;45130;ANA MARIA DO SOCORRO MAGNO CUNHA;140000000985;ELEITO POR QP;50491
2014;PA;DEPUTADO ESTADUAL;PSDB;45155;MILTON CAMPBELL CAMPOS;140000000971;ELEITO POR MÉDIA;34370
2014;PA;DEPUTADO ESTADUAL;PSDB;45555;ELIANE ALVES DA SILVA;140000000966;ELEITO POR QP;42724
2014;PA;DEPUTADO ESTADUAL;PSDB;45678;CELSO SABINO DE OLIVEIRA;140000000962;ELEITO POR QP;39929
2014;PA;DEPUTADO ESTADUAL;PT;13130;CARLOS ALBERTO BARROS BORDALO;140000000396;ELEITO POR QP;40163
2014;PA;DEPUTADO ESTADUAL;PT;13133;DIRCEU TEN CATEN PIES;140000000398;ELEITO POR QP;32930
2014;PA;DEPUTADO ESTADUAL;PT;13500;AIRTON LUIZ FALEIRO;140000000390;ELEITO POR QP;32827
2014;PA;DEPUTADO ESTADUAL;PTB;14000;SEBASTIÃO MIRANDA FILHO;140000000995;ELEITO POR QP;41147
2014;PA;DEPUTADO ESTADUAL;PTB;14444;JOSE EDUARDO PEREIRA DA COSTA;140000000993;ELEITO POR QP;43783
2014;PA;DEPUTADO ESTADUAL;REPUBLICANOS*;10147;DIVINO DOS SANTOS;140000000170;ELEITO POR QP;36628
2014;PA;DEPUTADO ESTADUAL;SOLIDARIEDADE*;77123;HILTON ALVES  DE AGUIAR;140000000180;ELEITO POR QP;40435
2014;PA;DEPUTADO ESTADUAL;SOLIDARIEDADE*;77777;ELIEL PEREIRA FAUSTINO FILHO;140000000177;ELEITO POR MÉDIA;30024
2014;PA;DEPUTADO FEDERAL;CIDADANIA*;2323;ARNALDO JORDY FIGUEIREDO;140000000934;ELEITO POR QP;70950
2014;PA;DEPUTADO FEDERAL;DEM*;2525;HELIO LEITE DA SILVA;140000000751;ELEITO POR QP;85194
2014;PA;DEPUTADO FEDERAL;MDB*;1515;ELCIONE THEREZINHA ZAHLUTH BARBALHO;140000000455;ELEITO POR QP;87632
2014;PA;DEPUTADO FEDERAL;MDB*;1555;JOSÉ BENITO PRIANTE JUNIOR;140000000456;ELEITO POR QP;122348
2014;PA;DEPUTADO FEDERAL;MDB*;1588;SIMONE MARIA MORGADO FERREIRA;140000000457;ELEITO POR MÉDIA;76510
2014;PA;DEPUTADO FEDERAL;PL*;2222;LUCIO DUTRA VALE;140000000759;ELEITO POR QP;148163
2014;PA;DEPUTADO FEDERAL;PROS;9010;ROBERTO SALAME FILHO;140000000795;ELEITO POR QP;93524
2014;PA;DEPUTADO FEDERAL;PSC;2020;JULIA MARIA GODINHO DA CRUZ MARINHO;140000001051;ELEITO POR QP;86949
2014;PA;DEPUTADO FEDERAL;PSD;5500;ÉDER MAURO CARDOSO BARRA;140000000944;ELEITO POR QP;265983
2014;PA;DEPUTADO FEDERAL;PSD;5555;JOAQUIM PASSARINHO PINTO DE SOUZA;140000000942;ELEITO POR QP;76148
2014;PA;DEPUTADO FEDERAL;PSD;5577;FRANCISCO ALVES DE AGUIAR;140000000941;ELEITO POR MÉDIA;63671
2014;PA;DEPUTADO FEDERAL;PSDB;4590;NILSON PINTO DE OLIVEIRA;140000000923;ELEITO POR QP;193573
2014;PA;DEPUTADO FEDERAL;PSOL;5050;EDMILSON BRITO RODRIGUES;140000000097;ELEITO POR QP;170604
2014;PA;DEPUTADO FEDERAL;PT;1313;JOSE ROBERTO OLIVEIRA FARO;140000000436;ELEITO POR QP;142970
2014;PA;DEPUTADO FEDERAL;PT;1321;JOSE GERALDO TORRES DA SILVA;140000000435;ELEITO POR QP;105151
2014;PA;DEPUTADO FEDERAL;PTB;1456;JOSUÉ BENGTSON;140000000945;ELEITO POR QP;122995
2014;PA;DEPUTADO FEDERAL;SOLIDARIEDADE*;7777;WLADIMIR AFONSO DA COSTA RABELO;140000000015;ELEITO POR QP;141213
2014;PB;DEPUTADO ESTADUAL;AVANTE*;70000;INÁCIO JUSTINO FALCÃO PEREIRA;150000000058;ELEITO POR MÉDIA;14392
2014;PB;DEPUTADO ESTADUAL;AVANTE*;70123;GENIVAL MATIAS DE OLIVEIRA FILHO;150000000057;ELEITO POR QP;15027
2014;PB;DEPUTADO ESTADUAL;DEM*;25000;JOÃO HENRIQUE DE SOUZA;150000000316;ELEITO POR QP;45178
2014;PB;DEPUTADO ESTADUAL;DEM*;25111;LINDOLFO PIRES NETO;150000000317;ELEITO POR QP;33717
2014;PB;DEPUTADO ESTADUAL;MDB*;15123;HUMBERTO TROCOLLI JUNIOR;150000000163;ELEITO POR MÉDIA;20685
2014;PB;DEPUTADO ESTADUAL;MDB*;15151;ROBERTO RANIERY DE AQUINO PAULINO;150000000169;ELEITO POR QP;35007
2014;PB;DEPUTADO ESTADUAL;MDB*;15199;GERVÁSIO AGRIPINO MAIA;150000000162;ELEITO POR QP;34795
2014;PB;DEPUTADO ESTADUAL;MDB*;15221;NABOR WANDERLEY DA NOBREGA FILHO;150000000166;ELEITO POR QP;40138
2014;PB;DEPUTADO ESTADUAL;PATRIOTA*;51456;RICARDO LUIS BARBOSA DE LIMA;150000000421;ELEITO POR QP;45061
