ANO_ELEICAO;DS_CARGO;SG_PARTIDO;CD_MUNICIPIO;votos_partido_municipio
2002;DEPUTADO FEDERAL;PTB;13161;16
2002;DEPUTADO FEDERAL;PTB;13170;12
2002;DEPUTADO FEDERAL;PTB;13188;52
2002;DEPUTADO FEDERAL;PTB;13196;57
2002;DEPUTADO FEDERAL;PTB;13218;12
2002;DEPUTADO FEDERAL;PTB;13226;24
2002;DEPUTADO FEDERAL;PTB;13234;8
2002;DEPUTADO FEDERAL;PTB;13242;75
2002;DEPUTADO FEDERAL;PTB;13250;8
2002;DEPUTADO FEDERAL;PTB;13277;4
2002;DEPUTADO FEDERAL;PTB;13285;6
2002;DEPUTADO FEDERAL;PTB;13307;13
2002;DEPUTADO FEDERAL;PTB;13315;6
2002;DEPUTADO FEDERAL;PTB;13323;7
2002;DEPUTADO FEDERAL;PTB;13331;12
2002;DEPUTADO FEDERAL;PTB;13340;1
2002;DEPUTADO FEDERAL;PTB;13366;1
2002;DEPUTADO FEDERAL;PTB;13374;13
2002;DEPUTADO FEDERAL;PTB;13382;10
2002;DEPUTADO FEDERAL;PTB;13390;8
2002;DEPUTADO FEDERAL;PTB;13404;1
2002;DEPUTADO FEDERAL;PTB;13412;23
2002;DEPUTADO FEDERAL;PTB;13420;2
2002;DEPUTADO FEDERAL;PTB;13439;15
2002;DEPUTADO FEDERAL;PTB;13447;4
2002;DEPUTADO FEDERAL;PTB;13455;5
2002;DEPUTADO FEDERAL;PTB;13471;25
2002;DEPUTADO FEDERAL;PTB;13480;24
2002;DEPUTADO FEDERAL;PTB;13498;22
2002;DEPUTADO FEDERAL;PTB;13501;3
2002;DEPUTADO FEDERAL;PTB;13510;12
2002;DEPUTADO FEDERAL;PTB;13536;5
2002;DEPUTADO FEDERAL;PTB;13552;70
2002;DEPUTADO FEDERAL;PTB;13579;5
2002;DEPUTADO FEDERAL;PTB;13595;6
2002;DEPUTADO FEDERAL;PTB;13617;2
2002;DEPUTADO FEDERAL;PTB;13633;4
2002;DEPUTADO FEDERAL;PTB;13650;7
2002;DEPUTADO FEDERAL;PTB;13676;2
2002;DEPUTADO FEDERAL;PTB;13692;48
2002;DEPUTADO FEDERAL;PTB;13730;2451
2002;DEPUTADO FEDERAL;PTB;13757;237
2002;DEPUTADO FEDERAL;PTB;13773;3
2002;DEPUTADO FEDERAL;PTB;13838;20
2002;DEPUTADO FEDERAL;PTB;13854;78
2002;DEPUTADO FEDERAL;PTB;13870;6
2002;DEPUTADO FEDERAL;PTB;13897;2861
2002;DEPUTADO FEDERAL;PTB;13919;2
2002;DEPUTADO FEDERAL;PTB;13935;19
2002;DEPUTADO FEDERAL;PTB;13951;15
2002;DEPUTADO FEDERAL;PTB;13978;1
2002;DEPUTADO FEDERAL;PTB;13994;48
2002;DEPUTADO FEDERAL;PTB;14010;4
2002;DEPUTADO FEDERAL;PTB;14036;4
2002;DEPUTADO FEDERAL;PTB;14052;4
2002;DEPUTADO FEDERAL;PTB;14060;2
2002;DEPUTADO FEDERAL;PTB;14079;6
2002;DEPUTADO FEDERAL;PTB;14095;25
2002;DEPUTADO FEDERAL;PTB;14117;42
2002;DEPUTADO FEDERAL;PTB;14133;5
2002;DEPUTADO FEDERAL;PTB;14150;2
2002;DEPUTADO FEDERAL;PTB;14176;7
2002;DEPUTADO FEDERAL;PTB;14192;15
2002;DEPUTADO FEDERAL;PTB;14214;2
2002;DEPUTADO FEDERAL;PTB;14230;10
2002;DEPUTADO FEDERAL;PTB;14257;1
2002;DEPUTADO FEDERAL;PTB;14273;33
2002;DEPUTADO FEDERAL;PTB;14290;82
2002;DEPUTADO FEDERAL;PTB;14311;3
2002;DEPUTADO FEDERAL;PTB;14338;3
2002;DEPUTADO FEDERAL;PTB;14354;6
2002;DEPUTADO FEDERAL;PTB;14370;1
2002;DEPUTADO FEDERAL;PTB;14397;20
2002;DEPUTADO FEDERAL;PTB;14419;4
2002;DEPUTADO FEDERAL;PTB;14435;1
2002;DEPUTADO FEDERAL;PTB;14451;2
2002;DEPUTADO FEDERAL;PTB;14478;78
2002;DEPUTADO FEDERAL;PTB;14494;1
2002;DEPUTADO FEDERAL;PTB;14516;15
2002;DEPUTADO FEDERAL;PTB;14532;18
2002;DEPUTADO FEDERAL;PTB;14559;72
2002;DEPUTADO FEDERAL;PTB;14575;9
2002;DEPUTADO FEDERAL;PTB;14591;3
2002;DEPUTADO FEDERAL;PTB;14613;20
2002;DEPUTADO FEDERAL;PTB;14630;11
2002;DEPUTADO FEDERAL;PTB;14656;1
2002;DEPUTADO FEDERAL;PTB;14672;11
2002;DEPUTADO FEDERAL;PTB;14699;13
2002;DEPUTADO FEDERAL;PTB;14710;4
2002;DEPUTADO FEDERAL;PTB;14737;4
2002;DEPUTADO FEDERAL;PTB;14753;42
2002;DEPUTADO FEDERAL;PTB;14770;2
2002;DEPUTADO FEDERAL;PTB;14796;13
2002;DEPUTADO FEDERAL;PTB;14818;1
2002;DEPUTADO FEDERAL;PTB;14834;5
2002;DEPUTADO FEDERAL;PTB;14850;1
2002;DEPUTADO FEDERAL;PTB;14877;11
2002;DEPUTADO FEDERAL;PTB;14893;11
